ID,Name,Country,Notes
54884563,Werfenweng,Austria,Forecast Only
222036,Westendorf,Austria,
54884565,Wettersteinbahn,Austria,Forecast Only
54884567,Weyregg,Austria,Forecast Only
54884571,Wiesing,Austria,Forecast Only
54884573,Wildschonau,Austria,Forecast Only
54884575,Windischgarsten und Umgebung,Austria,Forecast Only
54883655,Worgl,Austria,
54883812,Zahmer Kaiser / Walchsee,Austria,Forecast Only
54887909,Zauberwinkl,Austria,Forecast Only
54883813,Zauchensee,Austria,
478643,Zell am See,Austria,
222037,Zell am Ziller,Austria,
54884577,Zell im Zillertal,Austria,Forecast Only
54883814,Zoblen,Austria,Forecast Only
54887911,Zug,Austria,Forecast Only
54883972,Zurs,Austria,
54887913,Shahdagh,Azerbaijan,Forecast Only
54887915,Baraque de Fraiture,Belgium,Forecast Only
54883975,Butgenbach,Belgium,Forecast Only
54883976,Hautes Fagnes,Belgium,Forecast Only
54883977,Malmedy,Belgium,Forecast Only
54884581,Mont des Brumes,Belgium,Forecast Only
54887917,Ovifat,Belgium,Forecast Only
54883978,St. Vith,Belgium,Forecast Only
54884583,Bjelasnica,Bosnia and Herzegovina,Forecast Only
54883451,Jahorina,Bosnia and Herzegovina,
54888711,Kupres,Bosnia and Herzegovina,Forecast Only
54884585,Mount Jahorina,Bosnia and Herzegovina,Forecast Only
54887919,Rostovo,Bosnia and Herzegovina,Forecast Only
54887921,Vlašic,Bosnia and Herzegovina,Forecast Only
54883463,Bansko,Bulgaria,
55001,Borovets,Bulgaria,
54883691,Chepelare,Bulgaria,Forecast Only
54887923,Maliovica,Bulgaria,Forecast Only
55002,Pamporovo,Bulgaria,
54883811,Vitosha,Bulgaria,Forecast Only
54887847,Alice Hill Park / Pembroke Ski and Snowboard Club,Canada,Forecast Only
604001,Apex Mountain,Canada,
54887491,Apex Mountain Resort,Canada,Forecast Only
54884587,Arrowhill,Canada,Forecast Only
204012,Asessippi Ski Area,Canada,
54883985,Baldface Lodge,Canada,Forecast Only
54884589,Banff Mount Norquay,Canada,Forecast Only
54884591,Banff National Park,Canada,Forecast Only
613002,Batawa Ski Hill,Canada,
54887505,Bear Mountain Resort - BC,Canada,Forecast Only
604002,Bear Mountain Ski Hill,Canada,Forecast Only
54887507,Bear Mountain Ski Hill,Canada,Forecast Only
519001,Beaver Valley,Canada,Forecast Only
514001,Belle Neige,Canada,Forecast Only
604004,Big White,Canada,
705001,Blue Mountain,Canada,
54887517,Boler Mountain,Canada,Forecast Only
54888595,Brimacombe,Canada,Forecast Only
54884593,Bromont,Canada,Forecast Only
54884595,Brookvale Ski Park,Canada,Forecast Only
613004,Calabogie Peaks,Canada,
54888629,Caledon,Canada,Forecast Only
416006,Camp Fortune,Canada,
403002,Canada Olympic Park,Canada,
54887849,Canmore Nordic Centre Provincial Park,Canada,Forecast Only
403003,Canyon Ski Area,Canada,
403020,Castle Mountain,Canada,
519003,Cedar Highlands,Canada,Forecast Only
117,Centennial Park,Canada,
54887925,Centre de Ski Le Relais,Canada,Forecast Only
54884599,Centre Municipal de Ski 40-80,Canada,Forecast Only
519004,Chicopee Ski Club,Canada,
519005,Cobble Hills Ski Club,Canada,Forecast Only
54887531,Crabbe Mountain,Canada,Forecast Only
54884603,Craigleith Ski Club,Canada,Forecast Only
604007,Crystal Mountain,Canada,
604008,Cypress Mountain,Canada,
905001,Dagmar Ski Resort,Canada,
54887851,Devil's Elbow Ski Area,Canada,Forecast Only
54888625,Dryden,Canada,Forecast Only
306009,Duck Mountain,Canada,
54887535,E. C. Manning Provincial Park,Canada,Forecast Only
819001,Edelweiss Valley,Canada,
403004,Edmonton Ski Club,Canada,Forecast Only
604009,Fairmont Hot Springs,Canada,
54887853,Fairview Ski Hill,Canada,Forecast Only
204002,Falcon Ridge,Canada,
604010,Fernie Alpine,Canada,
54887927,Forbidden,Canada,Forecast Only
403005,Fortress Mountain,Canada,Forecast Only
418024,Gallix,Canada,Forecast Only
905002,Glen Eden,Canada,
819002,Gray Rocks,Canada,Forecast Only
604012,Grouse Mountain,Canada,
54887547,Harper Mountain,Canada,Forecast Only
604013,Harper Mountain,Canada,Forecast Only
54887549,Hemlock Resort,Canada,Forecast Only
604014,Hemlock Valley,Canada,
54887553,Heyden Ski Hill & Resort,Canada,Forecast Only
54887563,Hidden Valley Highlands,Canada,Forecast Only
519007,Hockley Valley,Canada,
204003,Holiday Mountain,Canada,Forecast Only
705005,Horseshoe Resort,Canada,
54884605,Hudson Bay Mountain Resort,Canada,Forecast Only
54884609,Jasper National Park,Canada,Forecast Only
